,A,C,D
count,2416.0,2416.0,2416.0
mean,0.39092855490990824,0.4187147126144526,0.43168682967688865
std,0.1319150034905515,0.13242812818702743,0.14005221118073374
min,0.022143423557281494,0.05245155096054077,0.05553239583969116
25%,0.2924155592918396,0.3209954500198364,0.3267659693956375
50%,0.40454959869384766,0.43865692615509033,0.4508316218852997
75%,0.48260219395160675,0.5155738145112991,0.5387794226408005
max,0.7719502449035645,0.7545602917671204,0.7455156445503235
